Sortings: 0= Selection Sort, 1= Insertion Sort, 2= Bubble Sort, 3= Merge Sort, 4= Quick Sort 
Sortings: 5= Heap Sort, 6= Binary Insertion Sort 
Sortings 	 Data Order 	 Data Size 	 Duration 
0 	         0 	             0 	 	 	 7 
0 	         0 	             1 	 	 	 74 
0 	         0 	             2 	 	 	 652 
0 	         0 	             3 	 	 	 7165 
0 	         0 	             4 	 	 	 65097 
0 	         1 	             0 	 	 	 6 
0 	         1 	             1 	 	 	 73 
0 	         1 	             2 	 	 	 644 
0 	         1 	             3 	 	 	 7171 
0 	         1 	             4 	 	 	 65054 
0 	         2 	             0 	 	 	 6 
0 	         2 	             1 	 	 	 72 
0 	         2 	             2 	 	 	 644 
0 	         2 	             3 	 	 	 7163 
0 	         2 	             4 	 	 	 64948 
0 	         3 	             0 	 	 	 7 
0 	         3 	             1 	 	 	 84 
0 	         3 	             2 	 	 	 748 
0 	         3 	             3 	 	 	 8293 
0 	         3 	             4 	 	 	 75375 
1 	         0 	             0 	 	 	 5 
1 	         0 	             1 	 	 	 49 
1 	         0 	             2 	 	 	 445 
1 	         0 	             3 	 	 	 4923 
1 	         0 	             4 	 	 	 45305 
1 	         1 	             0 	 	 	 0 
1 	         1 	             1 	 	 	 0 
1 	         1 	             2 	 	 	 0 
1 	         1 	             3 	 	 	 0 
1 	         1 	             4 	 	 	 1 
1 	         2 	             0 	 	 	 0 
1 	         2 	             1 	 	 	 0 
1 	         2 	             2 	 	 	 0 
1 	         2 	             3 	 	 	 0 
1 	         2 	             4 	 	 	 0 
1 	         3 	             0 	 	 	 8 
1 	         3 	             1 	 	 	 99 
1 	         3 	             2 	 	 	 883 
1 	         3 	             3 	 	 	 9790 
1 	         3 	             4 	 	 	 89129 
2 	         0 	             0 	 	 	 154 
2 	         0 	             1 	 	 	 1687 
2 	         0 	             2 	 	 	 16425 
2 	         0 	             3 	 	 	 174752 
2 	         0 	             4 	 	 	 1562189 
2 	         1 	             0 	 	 	 8 
2 	         1 	             1 	 	 	 82 
2 	         1 	             2 	 	 	 709 
2 	         1 	             3 	 	 	 3848 
2 	         1 	             4 	 	 	 8656 
2 	         2 	             0 	 	 	 0 
2 	         2 	             1 	 	 	 0 
2 	         2 	             2 	 	 	 0 
2 	         2 	             3 	 	 	 0 
2 	         2 	             4 	 	 	 0 
2 	         3 	             0 	 	 	 277 
2 	         3 	             1 	 	 	 3102 
2 	         3 	             2 	 	 	 29853 
2 	         3 	             3 	 	 	 315640 
2 	         3 	             4 	 	 	 2846281 
3 	         0 	             0 	 	 	 1 
3 	         0 	             1 	 	 	 4 
3 	         0 	             2 	 	 	 13 
3 	         0 	             3 	 	 	 46 
3 	         0 	             4 	 	 	 142 
3 	         1 	             0 	 	 	 1 
3 	         1 	             1 	 	 	 3 
3 	         1 	             2 	 	 	 11 
3 	         1 	             3 	 	 	 40 
3 	         1 	             4 	 	 	 122 
3 	         2 	             0 	 	 	 1 
3 	         2 	             1 	 	 	 3 
3 	         2 	             2 	 	 	 11 
3 	         2 	             3 	 	 	 39 
3 	         2 	             4 	 	 	 121 
3 	         3 	             0 	 	 	 1 
3 	         3 	             1 	 	 	 3 
3 	         3 	             2 	 	 	 11 
3 	         3 	             3 	 	 	 39 
3 	         3 	             4 	 	 	 121 
4 	         0 	             0 	 	 	 1 
4 	         0 	             1 	 	 	 5 
4 	         0 	             2 	 	 	 19 
4 	         0 	             3 	 	 	 81 
4 	         0 	             4 	 	 	 225 
4 	         1 	             0 	 	 	 3 
4 	         1 	             1 	 	 	 31 
4 	         1 	             2 	 	 	 198 
4 	         1 	             3 	 	 	 4719 
4 	         1 	             4 	 	 	 55152 
4 	         2 	             0 	 	 	 6 
4 	         2 	             1 	 	 	 72 
4 	         2 	             2 	 	 	 654 
4 	         2 	             3 	 	 	 7254 
4 	         2 	             4 	 	 	 66158 
4 	         3 	             0 	 	 	 141 
4 	         3 	             1 	 	 	 1565 
4 	         3 	             2 	 	 	 14071 
4 	         3 	             3 	 	 	 159343 
4 	         3 	             4 	 	 	 1447881 
5 	         0 	             0 	 	 	 2 
5 	         0 	             1 	 	 	 10 
5 	         0 	             2 	 	 	 35 
5 	         0 	             3 	 	 	 136 
5 	         0 	             4 	 	 	 449 
5 	         1 	             0 	 	 	 2 
5 	         1 	             1 	 	 	 10 
5 	         1 	             2 	 	 	 36 
5 	         1 	             3 	 	 	 137 
5 	         1 	             4 	 	 	 453 
5 	         2 	             0 	 	 	 2 
5 	         2 	             1 	 	 	 10 
5 	         2 	             2 	 	 	 36 
5 	         2 	             3 	 	 	 137 
5 	         2 	             4 	 	 	 451 
5 	         3 	             0 	 	 	 2 
5 	         3 	             1 	 	 	 9 
5 	         3 	             2 	 	 	 33 
5 	         3 	             3 	 	 	 125 
5 	         3 	             4 	 	 	 417 
6 	         0 	             0 	 	 	 4 
6 	         0 	             1 	 	 	 46 
6 	         0 	             2 	 	 	 379 
6 	         0 	             3 	 	 	 4466 
6 	         0 	             4 	 	 	 37246 
6 	         1 	             0 	 	 	 0 
6 	         1 	             1 	 	 	 2 
6 	         1 	             2 	 	 	 8 
6 	         1 	             3 	 	 	 32 
6 	         1 	             4 	 	 	 122 
6 	         2 	             0 	 	 	 0 
6 	         2 	             1 	 	 	 2 
6 	         2 	             2 	 	 	 8 
6 	         2 	             3 	 	 	 33 
6 	         2 	             4 	 	 	 118 
